nik,nama,alamat,no_hp,total_simpanan,total_pinjaman,tanggal_daftar,status
6171000000000001,Budi Santoso,Jl. Putri Tunggal No.15, Pontianak, Kalimantan Barat,084332181960,0,0,2024-04-08,aktif
6171000000000002,Siti Aminah,Jl. Sultan Abdurrahman No.78, Pontianak, Kalimantan Barat,088386379402,650000,1500000,2024-05-05,aktif
6171000000000003,Ahmad Fauzi,Jl. Sungai Raya Dalam No.98, Ketapang, Kalimantan Barat,081161559407,1000000,0,2024-07-03,aktif
6171000000000004,Dewi Lestari,Jl. Sultan Abdurrahman No.38, Sanggau, Kalimantan Barat,089593103413,150000,2000000,2024-05-15,aktif
6171000000000005,Rizky Pratama,Jl. Putri Tunggal No.47, Singkawang, Kalimantan Barat,085534192832,750000,2000000,2024-05-21,aktif
6171000000000006,Nur Aisyah,Jl. Prof. M. Yamin No.72, Mempawah, Kalimantan Barat,085030564139,500000,750000,2024-11-16,aktif
6171000000000007,Fajar Hidayat,Jl. Merdeka No.83, Bengkayang, Kalimantan Barat,082423884969,650000,1500000,2024-04-05,aktif
6171000000000008,Maya Sari,Jl. Sultan Abdurrahman No.64, Sungai Raya, Kubu Raya, Kalimantan Barat,080122691669,750000,3000000,2024-05-18,aktif
6171000000000009,Andi Wijaya,Jl. Gajah Mada No.88, Kapuas Hulu, Kalimantan Barat,081845146270,400000,3000000,2024-03-17,aktif
6171000000000010,Rina Wulandari,Jl. Ahmad Yani No.81, Sambas, Kalimantan Barat,088932528809,500000,2500000,2024-01-04,aktif
6171000000000011,Dedi Kurniawan,Jl. Dr. Wahidin No.40, Mempawah, Kalimantan Barat,080391171822,750000,3000000,2024-03-09,aktif
6171000000000012,Lina Marlina,Jl. Sultan Abdurrahman No.78, Sintang, Kalimantan Barat,083834657871,300000,750000,2024-02-11,aktif
6171000000000013,Agus Setiawan,Jl. Gajah Mada No.76, Ngabang, Landak, Kalimantan Barat,083930103105,150000,3000000,2024-04-09,aktif
6171000000000014,Putri Anggraini,Jl. Putri Tunggal No.63, Mempawah, Kalimantan Barat,088299737631,150000,2000000,2024-06-14,aktif
6171000000000015,Hendra Saputra,Jl. Merdeka No.60, Kapuas Hulu, Kalimantan Barat,080106513338,750000,500000,2024-07-06,aktif
6171000000000016,Wahyu Ramadhan,Jl. Imam Bonjol No.60, Mempawah, Kalimantan Barat,081781080132,650000,2500000,2024-08-07,aktif
6171000000000017,Intan Permata,Jl. Merdeka No.8, Singkawang, Kalimantan Barat,086064746872,300000,1000000,2024-04-02,aktif
6171000000000018,Yusuf Maulana,Jl. Veteran No.95, Ngabang, Landak, Kalimantan Barat,080500978820,1000000,0,2024-03-03,aktif
6171000000000019,Citra Amelia,Jl. Veteran No.9, Sanggau, Kalimantan Barat,083619399091,650000,3000000,2024-06-09,aktif
6171000000000020,Bagas Nugroho,Jl. Sungai Raya Dalam No.86, Kapuas Hulu, Kalimantan Barat,085346247510,750000,0,2024-02-18,aktif
6171000000000021,Rudi Hartono,Jl. Sungai Raya Dalam No.65, Sambas, Kalimantan Barat,082513542784,1250000,3000000,2024-01-22,aktif
6171000000000022,Nadia Safitri,Jl. Sultan Abdurrahman No.39, Sanggau, Kalimantan Barat,081241182449,300000,1500000,2024-04-22,aktif
6171000000000023,Ilham Maulana,Jl. Putri Tunggal No.34, Ngabang, Landak, Kalimantan Barat,087401640052,400000,500000,2024-12-15,aktif
6171000000000024,Ayu Lestari,Jl. Sultan Abdurrahman No.91, Sintang, Kalimantan Barat,088011280598,250000,2000000,2024-03-02,aktif
6171000000000025,Dimas Prakoso,Jl. Imam Bonjol No.47, Pontianak, Kalimantan Barat,085331586923,250000,500000,2024-07-01,aktif
6171000000000026,Tika Wulandari,Jl. Danau Sentarum No.95, Ketapang, Kalimantan Barat,086342160733,750000,1500000,2024-05-27,aktif
6171000000000027,Arif Rahman,Jl. Sungai Raya Dalam No.29, Pontianak, Kalimantan Barat,083654145868,500000,0,2024-02-09,aktif
6171000000000028,Novi Susanti,Jl. Danau Sentarum No.75, Sambas, Kalimantan Barat,080196556981,650000,750000,2024-05-02,aktif
6171000000000029,Eko Prasetyo,Jl. Prof. M. Yamin No.56, Pontianak, Kalimantan Barat,088835615951,400000,3000000,2024-05-22,aktif
6171000000000030,Mila Anggraini,Jl. Merdeka No.42, Sintang, Kalimantan Barat,084823662994,650000,3000000,2024-01-10,aktif
